Device Name,Latitude,Longitude,Time Interval,Traffic Count
tre115,61.494865,23.772034,07:00-07:15,57.0
tre123,61.495199,23.790101,07:00-07:15,105.0
tre125,61.495275,23.783948,07:00-07:15,83.0
tre158,61.497491,23.772112,07:00-07:15,40.0
tre227,61.498572,23.771758,07:00-07:15,110.0
tre327,61.501577,23.770451,07:00-07:15,82.0
tre402,61.498975,23.779556,07:00-07:15,125.0
tre412,61.50105,23.786898,07:00-07:15,18.0
tre425,61.498271,23.792154,07:00-07:15,15.0
tre427,61.498287,23.787051,07:00-07:15,237.0
tre428,61.498942,23.784002,07:00-07:15,82.0
tre545,61.49507,23.79469,07:00-07:15,148.0
tre401,61.499075,23.787049,07:00-07:15,88.0
tre122,61.497191,23.786666,07:00-07:15,142.0
tre115,61.494865,23.772034,07:15-07:30,57.0
tre123,61.495199,23.790101,07:15-07:30,127.0
tre125,61.495275,23.783948,07:15-07:30,132.0
tre158,61.497491,23.772112,07:15-07:30,28.0
tre227,61.498572,23.771758,07:15-07:30,112.0
tre327,61.501577,23.770451,07:15-07:30,123.0
tre402,61.498975,23.779556,07:15-07:30,172.0
tre412,61.50105,23.786898,07:15-07:30,45.0
tre425,61.498271,23.792154,07:15-07:30,22.0
tre427,61.498287,23.787051,07:15-07:30,288.0
tre428,61.498942,23.784002,07:15-07:30,100.0
tre545,61.49507,23.79469,07:15-07:30,185.0
tre401,61.499075,23.787049,07:15-07:30,114.0
tre122,61.497191,23.786666,07:15-07:30,182.0
tre115,61.494865,23.772034,07:30-07:45,135.0
tre123,61.495199,23.790101,07:30-07:45,188.0
tre125,61.495275,23.783948,07:30-07:45,173.0
tre158,61.497491,23.772112,07:30-07:45,67.0
tre227,61.498572,23.771758,07:30-07:45,148.0
tre327,61.501577,23.770451,07:30-07:45,178.0
tre402,61.498975,23.779556,07:30-07:45,257.0
tre412,61.50105,23.786898,07:30-07:45,50.0
tre425,61.498271,23.792154,07:30-07:45,22.0
tre427,61.498287,23.787051,07:30-07:45,322.0
tre428,61.498942,23.784002,07:30-07:45,127.0
tre545,61.49507,23.79469,07:30-07:45,298.0
tre401,61.499075,23.787049,07:30-07:45,130.0
tre122,61.497191,23.786666,07:30-07:45,228.0
tre115,61.494865,23.772034,07:45-08:00,165.0
tre123,61.495199,23.790101,07:45-08:00,237.0
tre125,61.495275,23.783948,07:45-08:00,332.0
tre158,61.497491,23.772112,07:45-08:00,73.0
tre227,61.498572,23.771758,07:45-08:00,200.0
tre327,61.501577,23.770451,07:45-08:00,193.0
tre402,61.498975,23.779556,07:45-08:00,342.0
tre412,61.50105,23.786898,07:45-08:00,62.0
tre425,61.498271,23.792154,07:45-08:00,50.0
tre427,61.498287,23.787051,07:45-08:00,477.0
tre428,61.498942,23.784002,07:45-08:00,190.0
tre545,61.49507,23.79469,07:45-08:00,425.0
tre401,61.499075,23.787049,07:45-08:00,195.0
tre122,61.497191,23.786666,07:45-08:00,348.0
tre115,61.494865,23.772034,08:00-08:15,118.0
tre123,61.495199,23.790101,08:00-08:15,342.0
tre125,61.495275,23.783948,08:00-08:15,313.0
tre158,61.497491,23.772112,08:00-08:15,63.0
tre227,61.498572,23.771758,08:00-08:15,227.0
tre327,61.501577,23.770451,08:00-08:15,248.0
tre402,61.498975,23.779556,08:00-08:15,392.0
tre412,61.50105,23.786898,08:00-08:15,63.0
tre425,61.498271,23.792154,08:00-08:15,32.0
tre427,61.498287,23.787051,08:00-08:15,500.0
tre428,61.498942,23.784002,08:00-08:15,185.0
tre545,61.49507,23.79469,08:00-08:15,453.0
tre401,61.499075,23.787049,08:00-08:15,195.0
tre122,61.497191,23.786666,08:00-08:15,385.0
tre115,61.494865,23.772034,08:15-08:30,157.0
tre123,61.495199,23.790101,08:15-08:30,213.0
tre125,61.495275,23.783948,08:15-08:30,250.0
tre158,61.497491,23.772112,08:15-08:30,100.0
tre227,61.498572,23.771758,08:15-08:30,220.0
tre327,61.501577,23.770451,08:15-08:30,263.0
tre402,61.498975,23.779556,08:15-08:30,428.0
tre412,61.50105,23.786898,08:15-08:30,67.0
tre425,61.498271,23.792154,08:15-08:30,50.0
tre427,61.498287,23.787051,08:15-08:30,352.0
tre428,61.498942,23.784002,08:15-08:30,223.0
tre545,61.49507,23.79469,08:15-08:30,333.0
tre401,61.499075,23.787049,08:15-08:30,173.0
tre122,61.497191,23.786666,08:15-08:30,272.0
tre115,61.494865,23.772034,08:30-08:45,192.0
tre123,61.495199,23.790101,08:30-08:45,182.0
tre125,61.495275,23.783948,08:30-08:45,237.0
tre158,61.497491,23.772112,08:30-08:45,73.0
tre227,61.498572,23.771758,08:30-08:45,263.0
tre327,61.501577,23.770451,08:30-08:45,300.0
tre402,61.498975,23.779556,08:30-08:45,313.0
tre412,61.50105,23.786898,08:30-08:45,42.0
tre425,61.498271,23.792154,08:30-08:45,42.0
tre427,61.498287,23.787051,08:30-08:45,275.0
tre428,61.498942,23.784002,08:30-08:45,140.0
tre545,61.49507,23.79469,08:30-08:45,303.0
tre401,61.499075,23.787049,08:30-08:45,125.0
tre122,61.497191,23.786666,08:30-08:45,231.0
tre115,61.494865,23.772034,08:45-09:00,95.0
tre123,61.495199,23.790101,08:45-09:00,235.0
tre125,61.495275,23.783948,08:45-09:00,242.0
tre158,61.497491,23.772112,08:45-09:00,87.0
tre227,61.498572,23.771758,08:45-09:00,238.0
tre327,61.501577,23.770451,08:45-09:00,227.0
tre402,61.498975,23.779556,08:45-09:00,357.0
tre412,61.50105,23.786898,08:45-09:00,57.0
tre425,61.498271,23.792154,08:45-09:00,43.0
tre427,61.498287,23.787051,08:45-09:00,297.0
tre428,61.498942,23.784002,08:45-09:00,212.0
tre545,61.49507,23.79469,08:45-09:00,338.0
tre401,61.499075,23.787049,08:45-09:00,152.0
tre122,61.497191,23.786666,08:45-09:00,258.0
