Device Name,Latitude,Longitude,Time Interval,Traffic Count
tre115,61.494865,23.772034,07:00-07:15,2040
tre123,61.495199,23.790101,07:00-07:15,3780
tre125,61.495275,23.783948,07:00-07:15,3000
tre158,61.497491,23.772112,07:00-07:15,1440
tre227,61.498572,23.771758,07:00-07:15,3960
tre327,61.501577,23.770451,07:00-07:15,2940
tre402,61.498975,23.779556,07:00-07:15,4500
tre412,61.50105,23.786898,07:00-07:15,660
tre425,61.498271,23.792154,07:00-07:15,540
tre427,61.498287,23.787051,07:00-07:15,8520
tre428,61.498942,23.784002,07:00-07:15,2940
tre545,61.49507,23.79469,07:00-07:15,5340
tre401,61.499075,23.787049,07:00-07:15,3170
tre122,61.497191,23.786666,07:00-07:15,5100

tre115,61.494865,23.772034,07:15-07:30,2040
tre123,61.495199,23.790101,07:15-07:30,4560
tre125,61.495275,23.783948,07:15-07:30,4740
tre158,61.497491,23.772112,07:15-07:30,1020
tre227,61.498572,23.771758,07:15-07:30,4020
tre327,61.501577,23.770451,07:15-07:30,4440
tre402,61.498975,23.779556,07:15-07:30,6180
tre412,61.50105,23.786898,07:15-07:30,1620
tre425,61.498271,23.792154,07:15-07:30,780
tre427,61.498287,23.787051,07:15-07:30,10380
tre428,61.498942,23.784002,07:15-07:30,3600
tre545,61.49507,23.79469,07:15-07:30,6660
tre401,61.499075,23.787049,07:15-07:30,4100
tre122,61.497191,23.786666,07:15-07:30,6560

tre115,61.494865,23.772034,07:30-07:45,4860
tre123,61.495199,23.790101,07:30-07:45,6780
tre125,61.495275,23.783948,07:30-07:45,6240
tre158,61.497491,23.772112,07:30-07:45,2400
tre227,61.498572,23.771758,07:30-07:45,5340
tre327,61.501577,23.770451,07:30-07:45,6420
tre402,61.498975,23.779556,07:30-07:45,9240
tre412,61.50105,23.786898,07:30-07:45,1800
tre425,61.498271,23.792154,07:30-07:45,780
tre427,61.498287,23.787051,07:30-07:45,11580
tre428,61.498942,23.784002,07:30-07:45,4560
tre545,61.49507,23.79469,07:30-07:45,10740
tre401,61.499075,23.787049,07:30-07:45,4680
tre122,61.497191,23.786666,07:30-07:45,8200

tre115,61.494865,23.772034,07:45-08:00,5940
tre123,61.495199,23.790101,07:45-08:00,8520
tre125,61.495275,23.783948,07:45-08:00,11940
